---------------------------------------------------------------------------------------------
Output for  sample-g.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2096932)
('total number of distinct words=', 36767)
('popular_threshold_word=', 1839.0)
('common_threshold_l_word=', 17464.0)
('common_threshold_u_word=', 19303.0)
('rare_threshold_word=', 34928.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|Word          |Frequency|
+----+--------------+---------+
|1   |the           |85411    |
|2   |and           |71399    |
|3   |to            |57875    |
|4   |of            |53039    |
|5   |i             |43390    |
|6   |a             |38326    |
|7   |in            |30956    |
|8   |that          |28874    |
|9   |you           |24809    |
|10  |it            |23428    |
|11  |he            |21938    |
|12  |my            |20944    |
|13  |his           |19408    |
|14  |for           |19288    |
|15  |not           |18987    |
|16  |with          |18786    |
|17  |is            |18613    |
|18  |as            |17222    |
|19  |be            |17074    |
|20  |her           |16224    |
|21  |was           |15398    |
|22  |me            |15259    |
|23  |but           |13564    |
|24  |him           |13521    |
|25  |have          |13467    |
|26  |this          |13016    |
|27  |so            |11023    |
|28  |she           |10965    |
|29  |on            |10298    |
|30  |your          |10177    |
|31  |all           |10152    |
|32  |had           |10032    |
|33  |by            |10015    |
|34  |at            |10004    |
|35  |will          |8714     |
|36  |what          |8677     |
|37  |or            |8154     |
|38  |if            |8052     |
|39  |no            |7962     |
|40  |they          |7582     |
|41  |from          |7477     |
|42  |are           |7164     |
|43  |which         |7147     |
|44  |thou          |7078     |
|45  |do            |6830     |
|46  |we            |6400     |
|47  |would         |6380     |
|48  |said          |5962     |
|49  |them          |5842     |
|50  |one           |5753     |
|51  |when          |5652     |
|52  |were          |5503     |
|53  |there         |5393     |
|54  |more          |5349     |
|55  |now           |5142     |
|56  |shall         |5045     |
|57  |who           |4981     |
|58  |thy           |4914     |
|59  |good          |4913     |
|60  |their         |4880     |
|61  |an            |4702     |
|62  |should        |4504     |
|63  |our           |4494     |
|64  |then          |4453     |
|65  |than          |4404     |
|66  |come          |4265     |
|67  |out           |4237     |
|68  |well          |4178     |
|69  |thee          |4162     |
|70  |am            |4103     |
|71  |how           |4016     |
|72  |been          |4001     |
|73  |very          |3831     |
|74  |such          |3813     |
|75  |may           |3791     |
|76  |could         |3742     |
|77  |any           |3729     |
|78  |man           |3687     |
|79  |know          |3663     |
|80  |say           |3655     |
|81  |did           |3619     |
|82  |must          |3610     |
|83  |some          |3583     |
|84  |upon          |3545     |
|85  |up            |3515     |
|86  |like          |3506     |
|87  |here          |3436     |
|88  |sir           |3389     |
|89  |lord          |3366     |
|90  |see           |3351     |
|91  |let           |3282     |
|92  |king          |3248     |
|93  |love          |3207     |
|94  |us            |3181     |
|95  |go            |3121     |
|96  |time          |3115     |
|97  |make          |3086     |
|98  |don           |2999     |
|99  |can           |2928     |
|100 |much          |2836     |
|101 |never         |2649     |
|102 |other         |2624     |
|103 |has           |2601     |
|104 |enter         |2578     |
|105 |these         |2574     |
|106 |give          |2572     |
|107 |into          |2546     |
|108 |before        |2525     |
|109 |where         |2524     |
|110 |made          |2519     |
|111 |o             |2507     |
|112 |first         |2487     |
|113 |great         |2475     |
|114 |too           |2451     |
|115 |own           |2382     |
|116 |take          |2377     |
|117 |yet           |2364     |
|118 |mr            |2330     |
|119 |being         |2304     |
|120 |most          |2254     |
|121 |think         |2254     |
|122 |about         |2229     |
|123 |quixote       |2187     |
|124 |two           |2133     |
|125 |sancho        |2120     |
|126 |tell          |2093     |
|127 |hath          |2085     |
|128 |little        |2074     |
|129 |though        |2034     |
|130 |himself       |2031     |
|131 |day           |2017     |
|132 |again         |1983     |
|133 |might         |1948     |
|134 |why           |1947     |
|135 |without       |1938     |
|136 |way           |1931     |
|137 |only          |1901     |
|138 |down          |1852     |
|139 |heart         |1840     |
|140 |hand          |1836     |
|141 |nor           |1820     |
|142 |every         |1819     |
|143 |away          |1814     |
|144 |nothing       |1796     |
|145 |those         |1792     |
|146 |life          |1762     |
|147 |after         |1753     |
|148 |mrs           |1724     |
|149 |lady          |1698     |
|150 |mine          |1680     |
|151 |eyes          |1634     |
|152 |speak         |1618     |
|153 |master        |1615     |
|154 |look          |1594     |
|155 |ever          |1593     |
|156 |even          |1586     |
|157 |house         |1561     |
|158 |done          |1550     |
|159 |myself        |1533     |
|160 |came          |1520     |
|161 |over          |1516     |
|162 |night         |1514     |
|163 |father        |1512     |
|164 |many          |1506     |
|165 |old           |1484     |
|166 |cannot        |1476     |
|167 |men           |1466     |
|168 |still         |1447     |
|169 |god           |1443     |
|170 |long          |1435     |
|171 |off           |1433     |
|172 |world         |1390     |
|173 |thing         |1376     |
|174 |hear          |1375     |
|175 |another       |1368     |
|176 |better        |1366     |
|177 |thought       |1365     |
|178 |head          |1350     |
|179 |both          |1339     |
|180 |miss          |1327     |
|181 |name          |1326     |
|182 |put           |1325     |
|183 |duke          |1323     |
|184 |true          |1307     |
|185 |place         |1302     |
|186 |art           |1293     |
|187 |same          |1291     |
|188 |saw           |1287     |
|189 |once          |1281     |
|190 |death         |1265     |
|191 |while         |1250     |
|192 |leave         |1227     |
|193 |young         |1214     |
|194 |back          |1200     |
|195 |against       |1187     |
|196 |mind          |1174     |
|197 |part          |1171     |
|198 |poor          |1160     |
|199 |thus          |1158     |
|200 |heard         |1140     |
|201 |whom          |1133     |
|202 |queen         |1126     |
|203 |woman         |1120     |
|204 |friend        |1117     |
|205 |till          |1111     |
|206 |fair          |1106     |
|207 |dear          |1101     |
|208 |doth          |1097     |
|209 |set           |1092     |
|210 |exeunt        |1089     |
|211 |last          |1081     |
|212 |its           |1075     |
|213 |find          |1071     |
|214 |having        |1071     |
|215 |prince        |1060     |
|216 |scene         |1060     |
|217 |word          |1059     |
|218 |found         |1054     |
|219 |left          |1053     |
|220 |face          |1049     |
|221 |whose         |1033     |
|222 |three         |1026     |
|223 |exit          |1010     |
|224 |words         |1008     |
|225 |therefore     |1004     |
|226 |herself       |1001     |
|227 |under         |997      |
|228 |work          |995      |
|229 |soon          |992      |
|230 |told          |988      |
|231 |son           |986      |
|232 |sweet         |983      |
|233 |indeed        |982      |
|234 |right         |974      |
|235 |fear          |966      |
|236 |took          |964      |
|237 |going         |961      |
|238 |gentleman     |958      |
|239 |seen          |958      |
|240 |through       |953      |
|241 |full          |950      |
|242 |things        |949      |
|243 |wife          |949      |
|244 |heaven        |941      |
|245 |does          |940      |
|246 |end           |936      |
|247 |enough        |936      |
|248 |keep          |935      |
|249 |gutenberg     |931      |
|250 |get           |927      |
|251 |since         |926      |
|252 |home          |924      |
|253 |gone          |923      |
|254 |best          |916      |
|255 |went          |915      |
|256 |call          |912      |
|257 |daughter      |906      |
|258 |hope          |906      |
|259 |hands         |900      |
|260 |always        |898      |
|261 |rather        |897      |
|262 |sure          |892      |
|263 |second        |891      |
|264 |project       |890      |
|265 |blood         |889      |
|266 |comes         |886      |
|267 |between       |885      |
|268 |room          |879      |
|269 |brother       |876      |
|270 |because       |866      |
|271 |pray          |864      |
|272 |gave          |861      |
|273 |honour        |854      |
|274 |within        |848      |
|275 |answer        |843      |
|276 |john          |842      |
|277 |else          |841      |
|278 |far           |828      |
|279 |friends       |828      |
|280 |bear          |820      |
|281 |dead          |820      |
|282 |just          |812      |
|283 |mother        |812      |
|284 |replied       |812      |
|285 |hold          |811      |
|286 |together      |801      |
|287 |knight        |800      |
|288 |ay            |798      |
|289 |half          |793      |
|290 |bring         |792      |
|291 |present       |792      |
|292 |quite         |789      |
|293 |live          |787      |
|294 |emma          |778      |
|295 |hast          |770      |
|296 |however       |768      |
|297 |stand         |767      |
|298 |show          |757      |
|299 |kind          |755      |
|300 |earth         |752      |
|301 |knew          |748      |
|302 |boy           |747      |
|303 |truth         |745      |
|304 |body          |744      |
|305 |something     |743      |
|306 |none          |740      |
|307 |brought       |739      |
|308 |noble         |739      |
|309 |people        |736      |
|310 |matter        |734      |
|311 |rest          |731      |
|312 |believe       |730      |
|313 |use           |729      |
|314 |fire          |723      |
|315 |got           |718      |
|316 |reason        |716      |
|317 |wish          |716      |
|318 |side          |713      |
|319 |help          |709      |
|320 |looked        |709      |
|321 |nay           |705      |
|322 |called        |700      |
|323 |each          |698      |
|324 |gloucester    |694      |
|325 |given         |689      |
|326 |peace         |689      |
|327 |days          |686      |
|328 |door          |685      |
|329 |means         |685      |
|330 |eye           |684      |
|331 |joe           |682      |
|332 |ill           |681      |
|333 |asked         |680      |
|334 |doubt         |674      |
|335 |whole         |674      |
|336 |mean          |671      |
|337 |sister        |663      |
|338 |grace         |661      |
|339 |light         |657      |
|340 |soul          |653      |
|341 |elinor        |651      |
|342 |new           |647      |
|343 |forth         |646      |
|344 |seemed        |646      |
|345 |die           |645      |
|346 |less          |645      |
|347 |servant       |641      |
|348 |husband       |640      |
|349 |alone         |639      |
|350 |others        |638      |
|351 |bed           |634      |
|352 |state         |634      |
|353 |stay          |634      |
|354 |read          |633      |
|355 |coming        |631      |
|356 |letter        |631      |
|357 |lay           |629      |
